author,epub_link,html_link,img_link,title,book_id
"Melville, Herman, 1819-1891",https://www.gutenberg.org/ebooks/2701.epub,https://www.gutenberg.org/files/2701/2701-h/2701-h.htm,,"Moby Dick; Or, The Whale by Herman Melville",2701
"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",https://www.gutenberg.org/ebooks/408.epub,https://www.gutenberg.org/files/408/408-h/408-h.htm,,The Souls of Black Folk by W. E. B. Du Bois,408
"Bierce, Ambrose, 1842-1914?",https://www.gutenberg.org/ebooks/375.epub,https://www.gutenberg.org/files/375/375-h/375-h.htm,,An Occurrence at Owl Creek Bridge by Ambrose Bierce,375
"Hall, J. Lesslie (John Lesslie), 1856-1928",https://www.gutenberg.org/ebooks/16328.epub,https://www.gutenberg.org/files/16328/16328-h/16328-h.htm,,Beowulf: An Anglo-Saxon Epic Poem by J. Lesslie Hall,16328
"Burnett, Frances Hodgson, 1849-1924",https://www.gutenberg.org/ebooks/113.epub,https://www.gutenberg.org/files/113/113-h/113-h.htm,,The Secret Garden by Frances Hodgson Burnett,113
"Doyle, Arthur Conan, 1859-1930",https://www.gutenberg.org/ebooks/1661.epub,https://www.gutenberg.org/files/1661/1661-h/1661-h.htm,https://www.gutenberg.org/cache/epub/1661/pg1661.cover.medium.jpg,The Adventures of Sherlock Holmes by Arthur Conan Doyle,1661
"Austen, Jane, 1775-1817",https://www.gutenberg.org/ebooks/1342.epub,https://www.gutenberg.org/files/1342/1342-h/1342-h.htm,,Pride and Prejudice by Jane Austen,1342
"Carroll, Lewis, 1832-1898",https://www.gutenberg.org/ebooks/11.epub,https://www.gutenberg.org/files/11/11-h/11-h.htm,,Alice's Adventures in Wonderland by Lewis Carroll,11
"Strunk, William, 1869-1946",https://www.gutenberg.org/ebooks/37134.epub,https://www.gutenberg.org/files/37134/37134-h/37134-h.htm,https://www.gutenberg.org/cache/epub/37134/pg37134.cover.medium.jpg,The Elements of Style by William Strunk,37134
"Smith, Geoffrey Bache, 1894-1916",https://www.gutenberg.org/ebooks/48371.epub,https://www.gutenberg.org/files/48371/48371-h/48371-h.html,https://www.gutenberg.org/cache/epub/48371/pg48371.cover.medium.jpg,A Spring Harvest by Geoffrey Bache Smith,48371
"Shelley, Mary Wollstonecraft, 1797-1851",https://www.gutenberg.org/ebooks/84.epub,https://www.gutenberg.org/files/84/84-h/84-h.htm,,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",84
"Doyle, Arthur Conan, 1859-1930",https://www.gutenberg.org/ebooks/2852.epub,https://www.gutenberg.org/files/2852/2852-h/2852-h.htm,https://www.gutenberg.org/cache/epub/2852/pg2852.cover.medium.jpg,The Hound of the Baskervilles by Arthur Conan Doyle,2852
"Voltaire, 1694-1778",https://www.gutenberg.org/ebooks/19942.epub,https://www.gutenberg.org/files/19942/19942-h/19942-h.htm,,Candide by Voltaire,19942
"Christie, Agatha, 1890-1976",https://www.gutenberg.org/ebooks/863.epub,https://www.gutenberg.org/files/863/863-h/863-h.htm,,The Mysterious Affair at Styles by Agatha Christie,863
"Wodehouse, P. G. (Pelham Grenville), 1881-1975",https://www.gutenberg.org/ebooks/60067.epub,https://www.gutenberg.org/files/60067/60067-h/60067-h.htm,https://www.gutenberg.org/cache/epub/60067/pg60067.cover.medium.jpg,Leave it to Psmith by P. G. Wodehouse,60067
"Homer, 750? BCE-650? BCE",https://www.gutenberg.org/ebooks/1727.epub,https://www.gutenberg.org/files/1727/1727-h/1727-h.htm,,The Odyssey by Homer,1727
"Paine, Thomas, 1737-1809",https://www.gutenberg.org/ebooks/147.epub,https://www.gutenberg.org/files/147/147-h/147-h.htm,https://www.gutenberg.org/cache/epub/147/pg147.cover.medium.jpg,Common Sense by Thomas Paine,147
"Cleland, John, 1709-1789",https://www.gutenberg.org/ebooks/25305.epub,https://www.gutenberg.org/files/25305/25305-h/25305-h.htm,,Memoirs of Fanny Hill by John Cleland,25305
"Dewey, Katharine Fay",https://www.gutenberg.org/ebooks/60081.epub,https://www.gutenberg.org/files/60081/60081-h/60081-h.htm,https://www.gutenberg.org/cache/epub/60081/pg60081.cover.medium.jpg,Star People by Katharine Fay Dewey,60081
"Franklin, Benjamin, 1706-1790",https://www.gutenberg.org/ebooks/20203.epub,https://www.gutenberg.org/files/20203/20203-h/20203-h.htm,https://www.gutenberg.org/cache/epub/20203/pg20203.cover.medium.jpg,Autobiography of Benjamin Franklin by Benjamin Franklin,20203
"Locke, John, 1632-1704",https://www.gutenberg.org/ebooks/7370.epub,https://www.gutenberg.org/files/7370/7370-h/7370-h.htm,,Second Treatise of Government by John Locke,7370
"Wells, H. G. (Herbert George), 1866-1946",https://www.gutenberg.org/ebooks/59774.epub,https://www.gutenberg.org/files/59774/59774-h/59774-h.htm,https://www.gutenberg.org/cache/epub/59774/pg59774.cover.medium.jpg,30 Strange Stories by H. G. Wells,59774
"Austen, Jane, 1775-1817",https://www.gutenberg.org/ebooks/105.epub,https://www.gutenberg.org/files/105/105-h/105-h.htm,,Persuasion by Jane Austen,105
"Montaigne, Michel de, 1533-1592",https://www.gutenberg.org/ebooks/3600.epub,https://www.gutenberg.org/files/3600/3600-h/3600-h.htm,https://www.gutenberg.org/cache/epub/3600/pg3600.cover.medium.jpg,Essays of Michel de Montaigne — Complete by Michel de Montaigne,3600
"Doyle, Arthur Conan, 1859-1930",https://www.gutenberg.org/ebooks/48320.epub,https://www.gutenberg.org/files/48320/48320-h/48320-h.htm,https://www.gutenberg.org/cache/epub/48320/pg48320.cover.medium.jpg,Adventures of Sherlock Holmes by Arthur Conan Doyle,48320
"McCutcheon, John T. (John Tinney), 1870-1949",https://www.gutenberg.org/ebooks/60074.epub,https://www.gutenberg.org/files/60074/60074-h/60074-h.htm,https://www.gutenberg.org/cache/epub/60074/pg60074.cover.medium.jpg,The Mysterious Stranger and Other Cartoons by John T. McCutcheon,60074
"Russell, Bertrand, 1872-1970",https://www.gutenberg.org/ebooks/5827.epub,https://www.gutenberg.org/files/5827/5827-h/5827-h.htm,,The Problems of Philosophy by Bertrand Russell,5827
"Vonnegut, Kurt, 1922-2007",https://www.gutenberg.org/ebooks/21279.epub,https://www.gutenberg.org/files/21279/21279-h/21279-h.htm,,2 B R 0 2 B by Kurt Vonnegut,21279
"Franklin, Benjamin, 1706-1790",https://www.gutenberg.org/ebooks/148.epub,https://www.gutenberg.org/files/148/148-h/148-h.htm,https://www.gutenberg.org/cache/epub/148/pg148.cover.medium.jpg,The Autobiography of Benjamin Franklin by Benjamin Franklin,148
"Dickens, Charles, 1812-1870",https://www.gutenberg.org/ebooks/730.epub,https://www.gutenberg.org/files/730/730-h/730-h.htm,,Oliver Twist by Charles Dickens,730
"Whitman, Walt, 1819-1892",https://www.gutenberg.org/ebooks/1322.epub,https://www.gutenberg.org/files/1322/1322-h/1322-h.htm,,Leaves of Grass by Walt Whitman,1322
"Dostoyevsky, Fyodor, 1821-1881",https://www.gutenberg.org/ebooks/600.epub,https://www.gutenberg.org/files/600/600-h/600-h.htm,,Notes from the Underground by Fyodor Dostoyevsky,600
"Engels, Friedrich, 1820-1895",https://www.gutenberg.org/ebooks/61.html.n,https://www.gutenberg.org/ebooks/61.html.images,,The Communist Manifesto by Friedrich Engels and Karl Marx,61
